Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,1SgSubj,0SgObj,Neu,Pos,adaaweyaan,<<adaawe>>yaan,JDN-2010-MS-VTI-p27,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,1SgSubj,0PlObj,Neu,Pos,adaaweyaan,<<adaawe>>yaan,JDN-2010-MS-VTI-p27,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2SgSubj,0SgObj,Neu,Pos,adaaweyan,<<adaawe>>yan,JDN-2010-MS-VTI-p27,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2SgSubj,0PlObj,Neu,Pos,adaaweyan,<<adaawe>>yan,JDN-2010-MS-VTI-p27,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,ExclSubj,0SgObj,Neu,Pos,adaaweyaang,<<adaawe>>yaang,JDN-2010-MS-VTI-p27,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,ExclSubj,0PlObj,Neu,Pos,adaaweyaang,<<adaawe>>yaang,JDN-2010-MS-VTI-p27,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,InclSubj,0SgObj,Neu,Pos,adaaweyang,<<adaawe>>yang,JDN-2010-MS-VTI-p27,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,InclSubj,0PlObj,Neu,Pos,adaaweyang,<<adaawe>>yang,JDN-2010-MS-VTI-p27,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2PlSubj,0SgObj,Neu,Pos,adaaweyeg,<<adaawe>>yeg,JDN-2010-MS-VTI-p27,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2PlSubj,0PlObj,Neu,Pos,adaaweyeg,<<adaawe>>yeg,JDN-2010-MS-VTI-p27,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,3SgProxSubj,0SgObj,Neu,Pos,adaawed,<<adaawe>>d,JDN-2010-MS-VTI-p27,,,
